Rx1,-63.0951,-63.1372,false
Rx2,-55.1809,-55.1943,false
Rx3,-63.9493,-63.9639,false
Rx4,-55.8102,-55.8258,false
Rx5,-73.1177,-73.1336,false
Rx6,-102.6383,-102.6623,false
Rx7,-116.7305,-116.7493,false
Rx8,-68.4316,-68.4462,false
Rx9,-55.8149,-55.8281,false
Rx10,-104.4774,-104.4964,false
Rx11,-105.3904,-105.4109,false
Rx12,-79.4469,-79.459,false
Rx13,-101.6127,-101.63,false
Rx14,-49.6923,-49.7039,true
Rx15,-59.9878,-60.0004,false
Rx16,-88.8684,-88.8833,false
Rx17,-51.2731,-51.2863,true
Rx18,-97.7219,-97.7361,false
Rx19,-55.8561,-55.8683,true
Rx20,-62.3094,-62.326,false
Rx21,-48.9256,-48.9385,true
Rx22,-62.0277,-62.0482,false
Rx23,-87.9878,-88.0219,false
Rx24,-67.8082,-67.8268,false
Rx25,-79.3368,-79.355,false
